"","customer_id","spend_per_txn","spend_per_item","jan","feb","mar","apr","may","jun","jul","sep","oct","nov","dec","total_spend","mens_dept_spend","womens_dept_spend","kids_dept_spend","athletic_dept_spend","accessories_spend","recency","response","total_txns","total_items","unique_sizes","unique_depts","internet_spend","aug","tenure","retained_flag","retained_spend","cmpns","pct_response","ever_responded","opens","clicks","hhincome","hhage","hhwom","hhmen","hhkids","man_dept_buy","womens_dept_buy","kids_dept_buy","athletic_dept_buy","accessories_dept_buy","segment"
"15",266134,55.74,24.77,0,1,0,0,0,0,0,0,0,0,1,222.94,0,124.98,0,89.97,7.99,8,6,4,9,4,3,0,1,20,0,0,14,0.428571429,1,0.064,0.011,79950,42.9,1.78,1.26,1.45,0,1,0,1,1,6
"16",266638,23.33,11.66,1,1,0,0,0,0,0,0,0,0,1,69.98,59.99,-15,24.99,0,0,9,0,3,6,3,3,0,0,20,1,34.98,3,0,0,0.056,0.007,67815,35.6,2.03,0.71,1.51,1,0,1,0,0,7
"17",270349,68.74,45.82,0,0,0,0,1,0,0,0,0,0,0,137.47,0,44.99,0,92.48,0,14,1,2,3,2,2,0,1,17,0,0,12,0.083333333,1,0.088,0.007,66175,38,1.91,0.73,1.56,0,1,0,1,0,5
"18",271668,39.99,39.99,0,0,0,0,0,0,0,1,0,0,0,39.99,39.99,0,0,0,0,13,0,1,1,1,1,0,0,13,0,0,1,0,0,0.058,0.009,55208,30.3,0.7,1.41,0.8,1,0,0,0,0,2
"19",276588,22.5,22.5,0,0,0,0,1,0,1,0,0,0,0,44.99,0,44.99,0,0,0,5,0,2,2,1,1,0,0,15,0,0,3,0,0,0.066,0.01,48101,25.7,1.14,0.74,0.3,0,1,0,0,0,5
"20",278829,66.99,47.85,0,0,1,1,0,0,1,1,0,0,0,334.93,207.46,22.49,0,104.98,0,1,4,5,7,2,3,0,0,19,1,144.97,13,0.307692308,1,0.067,0.007,66894,33.9,1.99,0.7,1.63,1,1,0,1,0,6
"21",283340,45.61,18.24,0,1,0,0,0,0,1,0,0,0,1,182.44,0,24.99,0,153.46,3.99,10,3,4,10,7,3,0,0,20,1,109.97,10,0.3,1,0.061,0.006,88957,40.6,1.75,1.1,1.44,0,1,0,1,1,6
"22",285430,47.3,20.27,0,0,0,0,0,1,1,1,1,0,0,283.82,59.98,188.86,0,29.99,4.99,3,4,6,14,4,4,0,0,16,1,186.95,16,0.25,1,0.044,0.005,104415,45.1,1.91,1.98,2.42,1,1,0,1,1,6
"23",304303,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,4,1,1,0,0,7,0,0,10,0,0,0.072,0.011,46740,27.1,1.09,0.73,0.33,0,0,0,0,0,1
"24",307703,6.99,6.99,0,1,0,0,0,0,0,0,0,0,0,13.98,0,0,0,0,13.98,20,1,2,2,1,1,0,0,20,0,0,9,0.111111111,1,0.051,0.007,89214,42.8,1.87,0.99,1.43,0,0,0,0,1,1
"25",322353,58.32,34.99,0,1,0,0,1,0,0,1,0,0,0,174.95,0,119.96,0,54.99,0,13,5,3,5,2,2,0,0,20,1,157.96,18,0.277777778,1,0.081,0.007,65722,37.8,1.9,0.73,1.58,0,1,0,1,0,6
"26",356640,41.24,20.62,0,0,0,0,0,1,0,0,0,0,0,82.47,0,12.49,0,69.98,0,14,3,2,4,3,3,0,1,16,0,0,12,0.25,1,0.1,0.007,65672,34.2,2.16,0.75,1.5,0,1,0,1,0,4
"27",358675,26.09,13.04,1,0,0,0,0,0,1,0,1,0,0,130.44,0,28.36,15.65,86.43,0,0,6,5,10,6,4,0,1,21,1,105.99,17,0.352941177,1,0.067,0.007,66717,38.1,2.05,0.7,1.65,0,1,1,1,0,6
"28",369746,53.78,24.82,1,0,1,0,1,1,1,0,0,1,1,645.35,217.46,102.76,0,313.13,12,3,7,12,26,8,4,0,1,19,1,205.94,14,0.5,1,0.041,0.005,110093,53.2,2.09,1.94,3.1,1,1,0,1,1,6
"29",369763,51.24,34.16,0,0,1,0,0,0,0,0,0,0,0,102.47,0,0,0,97.48,4.99,14,1,2,3,3,2,0,1,19,0,0,10,0.1,1,0.067,0.008,79464,36.5,1.74,1.05,1.49,0,0,0,1,1,1
"30",398211,54.11,36.07,0,0,0,1,1,0,1,0,1,0,1,432.88,29.99,0,117.96,284.93,0,0,7,8,12,7,3,0,1,18,1,29.99,17,0.411764706,1,0.045,0.005,100560,47,1.95,1.64,2.47,1,0,1,1,0,6
"32",439287,36.74,15.74,0,0,0,1,0,1,0,1,0,0,0,220.41,40,44.99,54.47,14.99,65.96,1,2,6,14,5,5,0,0,16,1,208.34,9,0.222222222,1,0.043,0.005,109564,59.3,2.13,1.9,3,1,1,1,1,1,6
"33",443504,58.32,34.99,1,0,1,1,0,0,0,0,0,0,0,174.96,49.99,124.97,0,0,0,6,3,3,5,3,2,0,0,19,0,0,8,0.375,1,0.06,0.007,69951,37.1,1.96,0.74,1.5,1,1,0,0,0,7
"34",447827,38.74,16.31,0,1,1,1,0,1,1,0,0,0,0,309.89,0,167.47,92.44,39.99,9.99,3,5,8,19,9,4,0,0,18,1,124.98,13,0.384615385,1,0.046,0.005,103825,59.3,1.95,1.82,2.42,0,1,1,1,1,6
"35",534830,35.86,23.91,1,1,0,1,1,1,1,1,0,0,0,286.88,0,234.92,0,21.99,29.97,1,4,8,12,5,3,0,0,21,1,84.99,7,0.571428571,1,0.046,0.005,108189,46.8,2.1,1.68,2.83,0,1,0,1,1,6
"37",570953,25.99,10,0,0,1,0,0,0,1,0,0,0,0,129.97,59.98,69.99,0,0,0,3,0,5,13,3,3,0,0,7,1,59.99,5,0,0,0.072,0.007,80249,40.1,1.9,1.15,1.48,1,1,0,0,0,2
"38",587434,62.49,41.66,0,0,0,0,1,0,0,0,0,0,0,124.97,0,19.99,0,104.98,0,2,0,2,3,2,2,0,1,5,0,0,5,0,0,0.069,0.011,48290,26.7,1.11,0.75,0.35,0,1,0,1,0,5
"39",596989,22.99,9.19,0,0,0,0,0,0,0,0,0,0,1,45.97,0,32.98,0,0,12.99,10,2,2,5,4,3,0,1,14,0,0,5,0.4,1,0.059,0.009,87048,45.9,1.78,1.02,1.48,0,1,0,0,1,5
"40",603405,64.99,64.99,0,0,0,0,0,0,1,0,0,0,0,64.99,0,0,0,64.99,0,15,0,1,1,1,1,0,0,15,0,0,0,0,0,0.071,0.011,46777,26.8,1.13,0.72,0.27,0,0,0,1,0,1
"41",633548,77.49,35.22,0,0,0,1,0,0,0,0,0,0,0,387.43,0,27.49,34.99,324.95,0,2,4,5,11,6,4,0,1,14,1,242.45,10,0.4,1,0.042,0.005,100832,53.3,1.93,1.6,2.86,0,1,1,1,0,6
"42",634274,33.12,18.93,0,0,0,1,1,0,0,1,0,1,0,132.48,0,97.48,0,35,0,5,4,4,7,4,3,0,0,18,1,38.78,12,0.333333333,1,0.091,0.007,67728,35.9,2.21,0.74,1.51,0,1,0,1,0,6
"43",672266,10,10,0,0,0,1,0,0,0,0,0,0,0,10,0,10,0,0,0,18,2,1,1,1,1,0,0,18,0,0,14,0.142857143,1,0.093,0.007,68283,33.6,2.11,0.72,1.6,0,1,0,0,0,5
"44",694607,132.96,33.24,0,0,0,0,0,0,0,0,0,0,0,132.96,0,54.98,0,77.98,0,14,1,1,4,3,2,0,1,14,0,0,7,0.142857143,1,0.063,0.007,66519,38.3,2.09,0.71,1.63,0,1,0,1,0,5
"45",709126,75.99,30.39,1,0,0,0,0,0,0,0,0,0,1,151.97,0,29.99,0,109.98,12,10,5,2,5,4,3,0,0,21,0,0,13,0.384615385,1,0.065,0.01,84943,42.2,2,0.97,1.42,0,1,0,1,1,7
"46",717628,160.95,28.4,1,0,0,1,0,0,0,0,0,0,0,482.84,54.99,237.53,0,117.39,72.93,2,3,3,17,4,4,0,1,9,0,0,8,0.375,1,0.045,0.005,96902,45.9,1.97,1.74,2.68,1,1,0,1,1,7
"47",748002,19.99,19.99,0,0,0,0,0,1,0,0,0,0,0,19.99,19.99,0,0,0,0,16,0,1,1,1,1,0,0,16,0,0,0,0,0,0.058,0.009,57759,34,0.89,1.4,0.84,1,0,0,0,0,4
"48",756809,92.47,30.82,0,1,1,0,1,1,0,0,1,0,0,554.83,0,489.87,64.96,0,0,0,5,6,18,5,2,0,0,20,1,402.89,17,0.294117647,1,0.044,0.006,105578,50.9,2.14,1.51,2.86,0,1,1,0,0,6
"49",785793,75.82,45.49,0,0,0,0,0,0,0,0,0,0,1,227.45,69.99,67.48,0,89.98,0,2,2,3,5,2,3,0,1,14,1,104.98,8,0.25,1,0.104,0.007,68376,33.7,2.2,0.73,1.54,1,1,0,1,0,2
"50",791119,47.49,31.66,0,0,0,1,0,0,0,0,0,0,0,94.98,0,0,0,94.98,0,6,1,2,3,2,2,0,0,18,0,0,7,0.142857143,1,0.071,0.008,92147,42.1,1.86,1.24,1.44,0,0,0,1,0,1
"51",796931,20.83,11.71,0,0,1,1,0,0,0,1,1,0,0,187.43,0,187.43,0,0,0,7,4,9,16,3,2,0,1,19,1,45.45,14,0.285714286,1,0.057,0.007,65017,37.4,2.16,0.75,1.56,0,1,0,0,0,6
"52",821297,47.49,29.68,1,0,0,1,1,1,0,0,0,0,0,237.45,0,5,0,232.45,0,4,3,5,8,4,2,0,0,9,0,0,9,0.333333333,1,0.101,0.007,68396,36.1,2.08,0.7,1.54,0,1,0,1,0,7
"53",847887,37.24,18.62,1,1,0,0,0,0,0,0,0,0,0,223.43,0,0,17.49,174.97,30.97,2,2,6,12,5,4,0,1,21,1,109.44,16,0.125,1,0.044,0.005,104789,56.7,1.91,1.99,3.05,0,0,1,1,1,7
"56",921454,4.16,2.38,0,1,1,1,1,0,1,1,0,0,0,49.97,0,44.98,0,0,4.99,1,3,12,21,4,3,0,1,20,1,34.99,8,0.375,1,0.048,0.005,111220,48.6,2.2,1.53,2.63,0,1,0,0,1,6
"57",943831,38.99,15,0,0,0,1,0,0,0,1,0,1,0,194.96,0,56.5,0,124.98,13.48,6,6,5,13,5,3,0,0,18,1,49.99,23,0.260869565,1,0.047,0.005,97714,45.2,1.97,1.97,2.6,0,1,0,1,1,6
"58",951831,32.08,16.04,1,0,0,0,0,1,0,1,0,0,0,192.45,0,94.98,47.48,49.99,0,2,3,6,12,5,4,0,1,16,1,162.47,11,0.272727273,1,0.067,0.007,67329,38.9,2.19,0.72,1.57,0,1,1,1,0,7
"59",954897,41.25,27.5,0,0,0,1,0,0,0,0,0,0,0,82.5,0,22.5,0,60,0,6,0,2,3,2,2,0,0,18,0,0,7,0,0,0.072,0.01,49448,25.9,1.15,0.71,0.28,0,1,0,1,0,5
"60",965960,45.78,17.61,1,0,0,0,1,0,0,0,0,0,1,228.92,0,167.67,0,0,16.75,5,5,5,13,4,5,29.49,0,21,1,49.98,16,0.3125,1,0.081,0.01,83170,35,1.53,0.61,1.98,0,1,0,0,1,7
"61",975382,4.99,4.99,0,1,0,0,0,0,0,0,0,0,0,4.99,0,0,0,0,4.99,20,0,1,1,1,1,0,0,20,0,0,8,0,0,0.058,0.009,74595,30.7,1.18,0.9,2.05,0,0,0,0,1,1
"62",979988,55,13.75,0,0,0,0,1,0,0,0,0,0,0,109.99,0,94.99,15,0,0,5,0,2,8,3,2,0,0,17,1,145.95,7,0,0,0.061,0.009,78114,30.1,1.17,0.85,1.83,0,1,1,0,0,3
"63",1002851,61.49,40.99,0,0,0,0,1,0,0,0,1,0,0,122.97,69.99,49.99,0,0,2.99,0,0,2,3,3,3,0,0,17,0,0,4,0,0,0.054,0.009,79620,38.4,1.73,1.15,1.47,1,1,0,0,1,2
"64",1011161,71.24,47.49,0,0,0,0,0,0,0,1,0,0,0,142.47,79.99,39.99,0,22.49,0,1,0,2,3,3,3,0,1,2,1,174.94,0,0,0,0.058,0.009,57972,34.1,0.96,1.43,0.84,1,1,0,1,0,2
"65",1064962,41.19,20.59,1,0,0,1,1,0,0,0,0,0,1,205.94,0,171.62,0,29.99,4.33,10,5,5,10,4,3,0,1,21,1,169.97,12,0.416666667,1,0.054,0.006,79646,44.2,1.72,1.24,1.4,0,1,0,1,1,6
"66",1079671,52.49,34.99,0,1,0,0,0,0,0,1,0,0,0,104.98,0,84.98,0,20,0,1,2,2,3,2,2,0,0,20,0,0,9,0.222222222,1,0.058,0.007,65442,38.7,2.06,0.72,1.62,0,1,0,1,0,5
"67",1083299,42.49,31.87,1,0,0,0,0,1,0,0,1,0,0,254.92,0,90.74,74.2,89.98,0,2,3,6,8,4,3,0,1,21,1,107.48,10,0.3,1,0.093,0.007,65384,35,2.12,0.73,1.59,0,1,1,1,0,7
"68",1093978,46.6,27.96,0,0,1,0,0,1,0,0,1,0,1,279.62,35.99,112.47,0,75.18,55.98,2,8,6,10,3,4,0,1,19,0,0,14,0.571428571,1,0.041,0.005,99633,50.4,2.05,1.83,2.85,1,1,0,1,1,6
"69",1097072,61.74,41.16,1,1,0,0,0,0,0,0,0,0,0,246.94,89.98,24.99,0,119.98,11.99,8,1,4,6,3,4,0,1,21,1,83.99,13,0.076923077,1,0.075,0.009,81203,37,1.83,1.14,1.5,1,1,0,1,1,7
"70",1107226,68.98,31.35,0,0,1,1,0,1,1,1,0,0,0,344.9,0,69.98,0,251.85,23.07,3,8,5,11,4,3,0,0,19,1,465.85,19,0.421052632,1,0.05,0.005,108064,56.9,1.96,1.57,2.53,0,1,0,1,1,6
"71",1117033,54.99,54.99,1,0,0,0,0,0,0,0,0,0,0,54.99,0,0,0,54.99,0,21,0,1,1,1,1,0,0,21,0,0,5,0,0,0.073,0.011,48950,27.6,1.09,0.73,0.32,0,0,0,1,0,7
"72",1153772,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,2,2,1,0,0,17,0,0,0,0,0,0.074,0.01,46773,25.7,1.12,0.74,0.37,0,0,0,0,0,1
"73",1154224,60.82,45.62,1,0,0,1,0,0,0,1,0,0,0,182.46,0,72.48,0,109.98,0,1,0,3,4,2,2,0,0,9,0,0,3,0,0,0.063,0.009,74922,30.9,1.44,0.95,1.97,0,1,0,1,0,7
"75",1252304,45,45,0,1,0,0,0,1,0,0,0,0,0,89.99,0,15,0,74.99,0,4,2,2,2,1,2,0,0,20,1,264.95,12,0.166666667,1,0.078,0.007,65378,37.8,2.14,0.72,1.58,0,1,0,1,0,4
"76",1260500,24.42,19,1,0,1,0,1,1,0,0,1,0,0,170.96,0,110.98,0,39.99,19.99,2,5,7,9,5,4,0,1,12,0,0,11,0.454545455,1,0.045,0.005,96894,59.3,1.98,1.69,2.75,0,1,0,1,1,6
"77",1285942,56.61,22.64,0,0,0,0,1,0,1,0,1,0,0,226.43,134.96,69.98,0,0,21.49,12,1,4,10,4,3,0,0,17,0,0,14,0.071428571,1,0.061,0.011,87249,41,1.84,0.9,1.44,1,1,0,0,1,2
"78",1288511,55.48,27.74,0,0,0,0,0,0,0,1,0,0,0,110.96,29.99,0,0,69.98,10.99,1,1,2,4,3,3,0,0,13,1,257.15,9,0.111111111,1,0.056,0.009,91405,42.5,1.97,1.03,1.47,1,0,0,1,1,2
"79",1298755,39.99,23.99,0,0,0,0,0,0,0,1,1,0,0,119.97,0,0,0,119.97,0,12,0,3,5,2,1,0,0,13,0,0,6,0,0,0.054,0.009,84369,30.6,1.22,0.89,2.17,0,0,0,1,0,1
"80",1306191,85.26,26.64,0,0,1,0,0,1,0,0,0,0,1,426.31,0,92.65,0,333.66,0,2,7,5,16,3,3,107.96,1,16,1,354.7,19,0.368421053,1,0.08,0.013,83218,36,1.57,0.9,2.25,0,1,0,1,0,6
"81",1308184,71.24,47.49,0,0,0,0,0,1,0,0,0,0,0,142.48,27.49,0,0,114.99,0,2,1,2,3,2,2,0,1,16,1,104.97,10,0.1,1,0.086,0.007,65171,38.2,1.97,0.72,1.53,1,0,0,1,0,4
"82",1317760,47.49,23.75,0,0,0,0,0,1,0,0,0,0,0,94.98,0,0,0,94.98,0,4,0,2,4,2,1,0,0,4,0,0,4,0,0,0.071,0.01,49051,26.1,1.12,0.71,0.26,0,0,0,1,0,4
"83",1321733,34.98,14.58,0,0,1,0,0,1,0,0,0,0,0,174.92,109.97,0,0,0,64.95,4,5,5,12,4,2,0,1,14,1,122.95,15,0.333333333,1,0.045,0.005,99967,57.3,2.11,1.64,2.42,1,0,0,0,1,6
"84",1322550,32.47,10.82,0,0,0,0,0,0,1,0,0,0,0,32.47,0,21.99,0,0,10.48,15,0,1,3,2,2,0,0,15,0,0,4,0,0,0.059,0.009,77140,30.7,1.22,0.84,2.23,0,1,0,0,1,5
"85",1355484,34.99,34.99,1,0,0,0,0,0,0,0,0,0,0,34.99,0,34.99,0,0,0,21,1,1,1,1,1,0,0,21,1,39.99,13,0.076923077,1,0.06,0.007,67865,36.1,2.18,0.71,1.59,0,1,0,0,0,7
"86",1360862,13.56,13.56,0,0,0,1,1,0,0,0,1,0,0,94.95,9.99,49.99,30.98,0,3.99,2,5,7,7,5,4,0,1,18,1,83.97,18,0.277777778,1,0.048,0.005,101109,57.9,1.93,1.67,3.01,1,1,1,0,1,6
"87",1363755,84.99,28.33,0,0,0,0,0,0,0,0,0,0,0,84.99,0,0,0,69.99,15,14,0,1,3,2,2,0,1,14,0,0,6,0,0,0.067,0.009,82353,29.3,1.16,0.98,2.11,0,0,0,1,1,1
"88",1404649,64.73,18.49,0,0,0,0,0,1,0,0,0,0,0,129.45,56.65,68.31,0,0,4.49,2,2,2,7,4,4,84.97,1,16,1,387.42,13,0.153846154,1,0.08,0.018,88994,36.9,1.55,1.1,2.32,1,1,0,0,1,4
"89",1433108,28.75,28.75,0,1,0,1,0,0,0,0,0,0,0,57.49,17.5,0,0,39.99,0,18,2,2,2,2,2,0,0,20,0,0,10,0.2,1,0.1,0.007,65935,33.1,2.19,0.72,1.56,1,0,0,1,0,2
"90",1434100,68.12,23.84,0,0,1,0,1,0,0,0,0,0,1,476.83,0,24.99,38.42,395.96,17.46,2,11,7,20,6,5,0,1,19,1,405.42,20,0.55,1,0.049,0.005,108249,56.3,1.91,1.75,2.82,0,1,1,1,1,6
"91",1444806,27.77,10,0,1,1,1,1,1,0,0,1,0,1,249.9,0,18.68,99.07,132.15,0,4,9,9,25,5,3,0,0,20,0,0,18,0.5,1,0.041,0.005,109460,46.4,1.95,1.58,2.43,0,1,1,1,0,6
"92",1459244,39.85,19.92,1,0,0,0,1,1,0,1,0,0,0,278.92,0,75.75,0,196.96,6.21,2,5,7,14,4,3,0,1,17,1,24.99,10,0.5,1,0.049,0.006,113966,59.4,2.12,1.55,2.45,0,1,0,1,1,6
"93",1462724,48.36,13.82,0,0,0,0,0,0,0,1,0,0,1,193.44,0,27.49,0,149.97,15.98,1,4,4,14,5,4,49.99,1,10,1,300.43,14,0.285714286,1,0.081,0.01,84684,32.3,1.55,0.61,1.99,0,1,0,1,1,6
"95",1476468,23.69,16.92,1,1,0,0,0,0,0,0,0,0,0,118.47,0,0,0,80.97,37.5,2,2,5,7,6,2,0,1,21,0,0,4,0.5,1,0.058,0.011,79205,35.8,1.86,1.26,1.44,0,0,0,1,1,7
"96",1486755,56.58,20.21,0,0,0,0,0,1,1,1,0,0,1,282.88,0,22.49,0,189.96,70.43,2,4,5,14,5,3,0,1,15,1,59.99,7,0.571428571,1,0.045,0.005,108127,56.4,2.01,1.52,2.7,0,1,0,1,1,6
"97",1497648,61.98,30.99,0,0,0,0,0,0,0,0,1,0,0,61.98,0,0,0,49.99,11.99,0,0,1,2,2,2,0,0,0,1,74.98,3,0,0,0.06,0.009,81711,30.9,1.42,0.79,2.22,0,0,0,1,1,1
"98",1502541,52.78,19.19,1,0,0,0,0,0,0,1,0,0,1,211.11,0,144.96,61.98,0,4.16,1,7,4,11,5,4,0,0,21,1,175.96,14,0.5,1,0.048,0.005,111635,51.2,2.05,1.9,2.52,0,1,1,0,1,6
"99",1525267,82.47,27.49,0,0,0,0,1,0,0,0,0,0,0,82.47,0,0,0,67.48,14.99,17,0,1,3,3,2,0,0,17,0,0,3,0,0,0.057,0.009,73004,29.2,1.31,0.82,1.97,0,0,0,1,1,1
"100",1539277,34.76,15.8,1,1,0,0,0,1,1,0,0,0,0,173.79,12.49,0,0,133.62,27.68,4,3,5,11,4,3,0,0,15,0,0,11,0.272727273,1,0.075,0.011,76091,42.9,2,0.93,1.45,1,0,0,1,1,7
"101",1562032,24.98,8.33,1,0,0,0,0,0,0,0,0,0,0,24.98,0,0,0,21.99,2.99,9,0,1,3,2,3,0,0,9,0,0,5,0,0,0.06,0.009,83995,29.7,1.2,0.83,2.23,0,0,0,1,1,7
"102",1583515,24.99,24.99,1,0,0,0,0,0,0,0,0,0,0,24.99,0,24.99,0,0,0,21,0,1,1,1,1,0,0,21,0,0,4,0,0,0.072,0.011,46925,30,1.11,0.74,0.32,0,1,0,0,0,7
"103",1586463,69.36,34.68,0,1,1,0,0,0,0,0,0,1,1,277.44,114.98,92.48,49.99,0,19.99,8,3,4,8,5,5,0,0,19,0,0,12,0.25,1,0.047,0.005,104244,45.2,1.9,1.91,2.76,1,1,1,0,1,6
"104",1593918,118.97,29.74,0,0,0,0,0,0,1,0,0,0,0,118.97,29.99,0,0,74.99,13.99,3,0,1,4,2,3,0,0,3,0,0,7,0,0,0.067,0.008,82586,38.5,1.88,0.85,1.45,1,0,0,1,1,2
"106",1639824,25.99,17.32,0,0,0,1,1,0,0,0,0,0,0,51.97,0,39.98,11.99,0,0,17,2,2,3,3,2,0,0,18,0,0,13,0.153846154,1,0.093,0.007,66343,38.8,2.14,0.74,1.63,0,1,1,0,0,3
"107",1641256,47.5,31.66,0,0,0,0,0,1,0,0,0,0,1,94.99,20,0,0,54.99,20,10,1,2,3,2,3,0,0,16,1,74.97,12,0.083333333,1,0.067,0.011,93166,40.3,1.78,1.16,1.44,1,0,0,1,1,4
"108",1643357,45.27,28.81,0,0,1,0,0,1,1,0,1,0,0,316.92,24.99,134.13,0,130.81,26.99,12,7,7,11,5,4,0,0,19,1,129.97,16,0.4375,1,0.046,0.005,104965,53.3,2.04,1.63,2.95,1,1,0,1,1,6
"109",1645706,40,20,0,0,0,1,0,0,0,0,0,0,0,40,0,40,0,0,0,18,2,1,2,1,1,0,0,18,1,119.11,10,0.2,1,0.093,0.007,65136,36.8,1.96,0.74,1.63,0,1,0,0,0,5
"110",1649979,61.07,24.43,0,0,0,1,0,0,1,0,0,1,0,366.41,0,167.45,0,186.96,12,2,6,6,15,5,3,0,1,15,0,0,17,0.352941177,1,0.043,0.005,110604,56.7,2.05,1.55,2.65,0,1,0,1,1,6
"111",1681237,62.49,31.25,1,0,0,0,0,0,0,0,1,0,0,124.98,0,20,34.99,69.99,0,9,0,2,4,4,3,0,0,12,1,41.97,6,0,0,0.055,0.009,75599,29.8,1.17,0.78,2.16,0,1,1,1,0,7
"113",1715434,39.99,13.33,0,0,0,0,0,0,0,0,0,0,1,79.98,0,0,0,79.98,0,10,0,2,6,2,1,0,0,10,1,69.98,3,0,0,0.065,0.011,48505,25.1,1.12,0.7,0.25,0,0,0,1,0,1
"115",1729608,56.43,23.51,1,0,1,1,0,1,1,0,1,0,1,564.33,0,160.87,64.79,320.6,18.07,0,9,10,24,11,4,0,0,21,1,257.83,20,0.45,1,0.041,0.005,104582,52.5,1.97,1.91,2.47,0,1,1,1,1,6
"116",1750802,53.77,37.64,0,1,0,1,1,0,0,0,1,0,1,376.41,0,202.45,0,173.96,0,2,11,7,10,3,2,0,1,18,1,191.74,19,0.578947368,1,0.047,0.005,105227,60,2.09,1.94,2.82,0,1,0,1,0,6
"117",1751188,66.43,27.68,0,0,1,1,1,0,0,1,0,0,1,664.32,119.88,304.42,0,210.14,29.88,1,9,10,24,9,5,0,1,18,1,254.92,13,0.692307692,1,0.045,0.005,98029,57.7,2.01,1.89,2.54,1,1,0,1,1,6
"118",1766686,49.99,49.99,0,0,0,0,0,1,0,0,0,0,0,49.99,0,0,0,49.99,0,16,0,1,1,1,1,0,0,16,0,0,8,0,0,0.071,0.01,46686,27.1,1.13,0.72,0.29,0,0,0,1,0,4
